PHONE_ID;ADDRESS;STATUS;LASTCALL;LOT_NUMB;COMPETITION_NUMB;NAME_SERVICEMAN
857;676754 Амурская обл Архаринский р-н  с Новоспасск 2b2e58f1-0461-4b88-8b60-32e3dcd513f6  ул Школьная администрация;Разряд батарейки;2018-05-29 02:41:25;1;289;Архаринский Район
858;676740 Амурская Область Архаринский Муниципальный Район Сельское Поселение Черниговский Сельсовет с Черниговка 15b55fb1-a9c4-42e1-bcd1-d98dd2586a51  ул Советская 3 1;Таксофон отзвонился;2018-01-10 12:16:29;1;289;Архаринский Район
859;676761 Амурская Область Архаринский Муниципальный Район Сельское Поселение Аркадьевский Сельсовет с Аркадьевка 69ea89c6-f818-4e87-a5db-9ca9491f603b  ул Центральная 19 1;Таксофон отзвонился;2018-02-04 18:51:22;1;289;Архаринский Район
860;676756 Амурская Область Архаринский Муниципальный Район Сельское Поселение Иннокентьевский Сельсовет с Иннокентьевка 2103ae07-e384-4f28-8b0b-45da914997ac  ул Калинина 49;Таксофон отзвонился;2018-01-10 12:11:39;1;289;Архаринский Район
861;676757 Амурская Область Архаринский Муниципальный Район Сельское Поселение Северный Сельсовет с Северное 16637a69-324d-4a8e-8277-db644fe65a1a  ул Амурская 20;Таксофон отзвонился;2018-01-25 14:31:05;1;289;Архаринский Район
863;676746 Амурская обл Архаринский р-н  с Отважное 5010f494-0d8e-44ee-8cbc-ed4c92d4f7f0 ул Центральная администрация;Таксофон отзвонился;2018-05-29 03:06:08;1;289;Архаринский Район
864;676747 Амурская обл Архаринский р-н  с Ленинское a43466e0-5d44-4b82-99bd-334d2a7f77dd ул.Ленинская 55;Таксофон отзвонился;2018-01-10 15:35:01;1;289;Архаринский Район
865;676700 Амурская обл Бурейский р-н пгт.Бурея 074cc18a-2db4-49b4-9850-55988e4e9849 ул  Кировская 90;Трубка не уложена при плановом отзвоне;2018-03-15 03:15:41;1;289;Бурейский Район
866;Амурская обл Бурейский р-н пгт.Новобурейский 24adc5f8-b795-4c22-92d2-9a749b07adf8  ул Советская 46;Таксофон отзвонился;2018-05-29 03:23:46;1;289;Бурейский Район
867;676722 Амурская Область Бурейский М Р  Г П Рабочий Поселок с Николаевка b76df1e9-334c-40f4-ad45-1f63fc325c87  ул Юбилейная 1;Разряд батарейки;2018-05-29 03:27:19;1;289;Бурейский Район
868;676712 Амурская Область Бурейский Муниципальный Район Сельское Поселение Алексеевский Сельсовет с Алексеевка F62F81DC-C4C2-42A5-A36B-133B20883243 ул Новая 11;Таксофон отзвонился;2018-05-25 11:19:18;1;289;Райчихинск
869;п Новобурейск 24adc5f8-b795-4c22-92d2-9a749b07adf8 ул  Лесная 27;Разряд батарейки;2018-05-29 03:37:20;1;289;Бурейский Район
870;676718 Амурская обл Бурейский р-н с Долдыкан d1df812e-b9c8-44b0-9953-8045474fe589 ул Центральная 26;Разряд батарейки;2018-05-29 03:40:58;1;289;Бурейский Район
871;676713 Амурская Область Бурейский М Р  С П Малиновский Сельсовет с Малиновка 93ca8483-ce70-4cf1-92dc-6900424d42a6  ул Октябрьская 8;Таксофон отзвонился;2018-05-15 03:45:52;1;289;Бурейский Район
872;676735 Амурская обл Бурейский р-н с Родионовка 7f0b9b29-ed0c-4153-a2d0-89591f7b94ae ул Советская 24;Таксофон отзвонился;2018-05-28 19:51:44;1;289;Бурейский Район
873;676715 Амурская обл Бурейский р-н с Безозерное 4d62d191-9b3c-40cd-8339-316acad41f58 ул Центральная 2;Таксофон отзвонился;2018-05-29 03:55:54;1;289;Райчихинск
874;676714 Амурская обл Бурейский р-н с Старая Райчиха 940ea47d-7950-4be1-bcac-2eb7ee5a2ba3 ул Центральная 14;Таксофон отзвонился;2018-05-29 04:00:41;1;289;Райчихинск
875;676716 Амурская Область Бурейский М  С П Успеновский Сельсовет с Успеновка 15ea2f86-4c03-48a9-b57e-84f1a41c1dd6  ул Центральная 4;Таксофон отзвонился;2018-05-29 04:06:00;1;289;Райчихинск
876;Амурская Область Михайловский М Рс Поярково 2cd7ba60-953f-4669-94df-eaf559e21712 ул Советская 16;в ремонте;2018-03-05 09:51:46;1;289;Михайловский Район
877;676673 Амурская Область Михайловский М Р  С П Воскресеновский Сельсовет с Воскресеновка  a427d325-672f-4a82-94d3-bc3b849eac9a ул Школьная 2;Разряд батарейки;2018-05-29 04:19:03;1;289;Михайловский Район
878;676670 Амурская Область Михайловский М Р  С Пе Михайловский Сельсовет с Михайловка  b84a7503-3c5f-4e6b-9288-825f45dcd97c ул Михайловских партизан 2;Разряд батарейки;2018-05-28 13:19:25;1;289;Михайловский Район
879;Амурская Область Михайловский М Рс Коршуновка d562463e-c2be-48b4-8de8-25c43931a32a ул Тупиковая 2;Разряд батарейки;2018-05-29 08:02:13;1;289;Михайловский Район
880;676672 Амурская Область Михайловский Мй Р С П Ильиновский Сельсовет с Нижняя Ильиновка  24d328c8-20f4-4bc1-b1f6-44c55eba55ec ул Советская2;Таксофон отзвонился;2018-05-29 04:30:51;1;289;Михайловский Район
881;Амурская Область Михайловский М Рс Калинино 3868cc84-aa5e-42d3-bf5e-3af931b49586 ул Шадрина 1;Таксофон отзвонился;2018-05-25 12:36:17;1;289;Михайловский Район
882;676680 Амурская Область Михайловский М Р С П Михайловский Сельсовет с Петропавловка  03d722e6-ed7d-4a4c-b952-7fa5779bd428 ул Центральная 21;Таксофон отзвонился;2018-05-17 13:19:39;1;289;Михайловский Район
883;676680 Амурская обл Михайловский м р с Арсеньевка  2e63cbbb-3d7b-4547-a4af-f46cd8d545e4 ул Центральная 3;Разряд батарейки;2018-05-29 04:46:17;1;289;Михайловский Район
884;Амурская Область Михайловский М Рс Чесноково  002d0c4c-97c8-476e-9611-7341f463d736 ул Центральная22;Разряд батарейки;2018-05-29 04:52:33;1;289;Михайловский Район
885;Амурская обл Михайловский м р с Дим fdeebaa3-9d60-460a-a7ab-2fbf2d07360c ул Центральная 6;Разряд батарейки;2018-05-29 01:23:53;1;289;Михайловский Район
886;Амурская Область Михайловский М Рс Дубовое 6ec90632-f029-41c5-8f64-a9be76a084d8 ул Школьная 4а;Разряд батарейки;2018-05-29 01:26:07;1;289;Михайловский Район
887;Амурская Область Михайловский М Рс Винниково 2637fae1-5784-4654-96e5-c0b2ea459a3e ул Молодёжная 8;в ремонте;2018-02-08 08:44:16;1;289;Михайловский Район
888;Амурская Область Михайловский М Рс Зел  Бор 9b9f5924-4cfc-4cf4-8972-8c332041453e ул Центральная 6;Разряд батарейки;2018-05-29 01:36:12;1;289;Михайловский Район
889;Амурская Область Михайловский М Рс Новочесноково 598a4301-bdc7-4c0e-a369-a78f96e96cc6 ул Совхозная 6;Разряд батарейки;2018-04-26 12:32:45;1;289;Михайловский Район
890;Амурская обл Бурейский р-н пгт Талакан 8eaab979-3b82-492e-ac87-3d879e615f44 д 20 улиц нет;Таксофон отзвонился;2018-05-29 01:45:51;1;289;Бурейский Район
891;676740 Амурская Область Архаринский Муниципальный Район Сельское Поселение Вольненский Сельсовет с Вольное b1bcc385-3c63-4e7a-a431-c3b43c5978a4  ул Центральная 17;Таксофон отзвонился;2018-01-10 10:20:31;1;289;Архаринский Район
892;676740 Амурская обл Архаринский р-н  с Могилевка 4f3c1508-2cbb-427b-be3e-02b0b19d0552 ул Центральная 42;Таксофон отзвонился;2018-01-24 10:11:14;1;289;Архаринский Район
1000;675004 Амурская Область Городской Округ Город Благовещенск п Радиоцентр  8f41253d-6e3b-48a9-842a-25ba894bd093  дом 6;Таксофон отзвонился;2018-05-29 04:55:41;1;289;Благовещенск Город
1001;675000 Амурская Область Городской Округ Город Благовещенск г Благовещенск 8f41253d-6e3b-48a9-842a-25ba894bd093  ул Шимановского каб опораСвободная 115;Разряд батарейки;2018-05-29 05:00:42;1;289;Благовещенск Город
1002;675000 Амурская Область Городской Округ Город Благовещенск г Благовещенск 8f41253d-6e3b-48a9-842a-25ba894bd093  ул Институтская 7;Таксофон отзвонился;2018-05-17 05:05:50;1;289;Благовещенск Город
1003;675000 Амурская Область Городской Округ Город Благовещенск г Благовещенск 8f41253d-6e3b-48a9-842a-25ba894bd093  ул Дальневосточная13;Таксофон отзвонился;2018-05-29 05:10:39;1;289;Благовещенск Город
1004;675000 Амурская Область Городской Округ Город Благовещенск г Благовещенск 8f41253d-6e3b-48a9-842a-25ba894bd093  ул Кирпичная 8;Разряд батарейки;2018-05-29 05:15:41;1;289;Благовещенск Город
