длительность сеанса -  5  мин

	СЕАНСЫ ВЫХОДА ТАКСОФОНОВ НА СВЯЗЬ С ЦУТ


   N 	  ID 	NЛП 	      сеанс 1      	     сеанс 2       	     сеанс 3       	      сеанс 4
   50	   90	 6	 9:00:00 -  9:05:00	17:00:00 - 17:05:00	 1:00:00 -  1:05:00	        сеанса нет 
   51	  202	 6	 0:00:00 -  0:05:00	 8:00:00 -  8:05:00	16:00:00 - 16:05:00	        сеанса нет 
   52	  214	 6	 0:05:00 -  0:10:00	 8:05:00 -  8:10:00	16:05:00 - 16:10:00	        сеанса нет 
   53	  215	 2	 2:05:00 -  2:10:00	10:05:00 - 10:10:00	18:05:00 - 18:10:00	        сеанса нет 
   54	  218	 2	 7:00:00 -  7:05:00	15:00:00 - 15:05:00	23:00:00 - 23:05:00	        сеанса нет 
   55	  401	 0	 1:55:00 -  2:00:00	 9:55:00 - 10:00:00	17:55:00 - 18:00:00	        сеанса нет 
   56	  454	 6	14:00:00 - 14:05:00	22:00:00 - 22:05:00	 6:00:00 -  6:05:00	        сеанса нет 
   57	  455	 6	 6:05:00 -  6:10:00	14:05:00 - 14:10:00	22:05:00 - 22:10:00	        сеанса нет 
   58	  458	 6	 6:10:00 -  6:15:00	14:10:00 - 14:15:00	22:10:00 - 22:15:00	        сеанса нет 
   59	  480	 2	 2:10:00 -  2:15:00	10:10:00 - 10:15:00	18:10:00 - 18:15:00	23:45:00 - 23:50:00
   60	  506	 2	 7:05:00 -  7:10:00	16:05:00 - 16:10:00	23:05:00 - 23:10:00	        сеанса нет 
   61	  551	 6	 1:05:00 -  1:10:00	 9:05:00 -  9:10:00	17:05:00 - 17:10:00	        сеанса нет 
   62	  553	 6	 1:10:00 -  1:15:00	 9:10:00 -  9:15:00	17:10:00 - 17:15:00	        сеанса нет 
   63	  610	 5	 1:00:00 -  1:05:00	 9:00:00 -  9:05:00	17:00:00 - 17:05:00	        сеанса нет 
   64	  611	 2	 2:15:00 -  2:20:00	10:15:00 - 10:20:00	18:15:00 - 18:20:00	        сеанса нет 
   65	  802	 0	 2:00:00 -  2:05:00	10:00:00 - 10:05:00	18:00:00 - 18:05:00	        сеанса нет 
   66	  807	 6	 9:15:00 -  9:20:00	17:15:00 - 17:20:00	 1:15:00 -  1:20:00	        сеанса нет 
   67	  850	 0	 2:05:00 -  2:10:00	10:05:00 - 10:10:00	18:05:00 - 18:10:00	        сеанса нет 
   68	  851	 0	 2:10:00 -  2:15:00	10:10:00 - 10:15:00	18:10:00 - 18:15:00	        сеанса нет 
   69	  852	 0	 2:15:00 -  2:20:00	10:15:00 - 10:20:00	18:15:00 - 18:20:00	        сеанса нет 
   70	  853	 0	 2:20:00 -  2:25:00	10:20:00 - 10:25:00	18:20:00 - 18:25:00	        сеанса нет 
   71	  854	 0	 2:25:00 -  2:30:00	10:25:00 - 10:30:00	18:25:00 - 18:30:00	        сеанса нет 
   72	  855	 0	 2:30:00 -  2:35:00	10:30:00 - 10:35:00	18:30:00 - 18:35:00	        сеанса нет 
   73	  856	 0	 2:35:00 -  2:40:00	10:35:00 - 10:40:00	18:35:00 - 18:40:00	        сеанса нет 
   74	  857	 0	 2:40:00 -  2:45:00	10:40:00 - 10:45:00	18:40:00 - 18:45:00	        сеанса нет 
   75	  858	 0	 2:45:00 -  2:50:00	10:45:00 - 10:50:00	18:45:00 - 18:50:00	        сеанса нет 
   76	  859	 0	 2:50:00 -  2:55:00	10:50:00 - 10:55:00	18:50:00 - 18:55:00	        сеанса нет 
   77	  860	 0	 2:55:00 -  3:00:00	10:55:00 - 11:00:00	18:55:00 - 19:00:00	        сеанса нет 
   78	  861	 0	 3:00:00 -  3:05:00	11:00:00 - 11:05:00	19:00:00 - 19:05:00	        сеанса нет 
   79	  863	 0	 3:05:00 -  3:10:00	11:05:00 - 11:10:00	19:05:00 - 19:10:00	        сеанса нет 
   80	  864	 0	 3:10:00 -  3:15:00	11:10:00 - 11:15:00	19:10:00 - 19:15:00	        сеанса нет 
   81	  865	 0	 3:15:00 -  3:20:00	11:15:00 - 11:20:00	19:15:00 - 19:20:00	        сеанса нет 
   82	  866	 0	 3:20:00 -  3:25:00	11:20:00 - 11:25:00	19:20:00 - 19:25:00	        сеанса нет 
   83	  867	 0	 3:25:00 -  3:30:00	11:25:00 - 11:30:00	19:25:00 - 19:30:00	        сеанса нет 
   84	  868	 0	 3:30:00 -  3:35:00	11:30:00 - 11:35:00	19:30:00 - 19:35:00	        сеанса нет 
   85	  869	 0	 3:35:00 -  3:40:00	11:35:00 - 11:40:00	19:35:00 - 19:40:00	        сеанса нет 
   86	  870	 0	 3:40:00 -  3:45:00	11:40:00 - 11:45:00	19:40:00 - 19:45:00	        сеанса нет 
   87	  871	 0	 3:45:00 -  3:50:00	11:45:00 - 11:50:00	19:45:00 - 19:50:00	        сеанса нет 
   88	  872	 0	 3:50:00 -  3:55:00	11:50:00 - 11:55:00	19:50:00 - 19:55:00	        сеанса нет 
   89	  873	 0	 3:55:00 -  4:00:00	11:55:00 - 12:00:00	19:55:00 - 20:00:00	        сеанса нет 
   90	  874	 0	 4:00:00 -  4:05:00	12:00:00 - 12:05:00	20:00:00 - 20:05:00	        сеанса нет 
   91	  875	 0	 4:05:00 -  4:10:00	12:05:00 - 12:10:00	20:05:00 - 20:10:00	        сеанса нет 
   92	  876	 0	 4:10:00 -  4:15:00	12:10:00 - 12:15:00	20:10:00 - 20:15:00	        сеанса нет 
   93	  877	 0	 4:15:00 -  4:20:00	12:15:00 - 12:20:00	20:15:00 - 20:20:00	        сеанса нет 
   94	  878	 0	 4:20:00 -  4:25:00	12:20:00 - 12:25:00	20:20:00 - 20:25:00	        сеанса нет 
   95	  879	 0	 4:25:00 -  4:30:00	12:25:00 - 12:30:00	20:25:00 - 20:30:00	        сеанса нет 
   96	  880	 0	 4:30:00 -  4:35:00	12:30:00 - 12:35:00	20:30:00 - 20:35:00	        сеанса нет 
   97	  881	 0	 4:35:00 -  4:40:00	12:35:00 - 12:40:00	20:35:00 - 20:40:00	        сеанса нет 
   98	  882	 0	 4:40:00 -  4:45:00	12:40:00 - 12:45:00	20:40:00 - 20:45:00	        сеанса нет 
   99	  883	 0	 4:45:00 -  4:50:00	12:45:00 - 12:50:00	20:45:00 - 20:50:00	        сеанса нет 
  100	  884	 0	 4:50:00 -  4:55:00	12:50:00 - 12:55:00	20:50:00 - 20:55:00	        сеанса нет 
  101	  885	 6	 1:20:00 -  1:25:00	 9:20:00 -  9:25:00	17:20:00 - 17:25:00	        сеанса нет 
  102	  886	 6	 1:25:00 -  1:30:00	 9:25:00 -  9:30:00	17:25:00 - 17:30:00	        сеанса нет 
  103	  887	 6	 1:30:00 -  1:35:00	 9:30:00 -  9:35:00	17:30:00 - 17:35:00	        сеанса нет 
  104	  888	 6	 1:35:00 -  1:40:00	 9:35:00 -  9:40:00	17:35:00 - 17:40:00	        сеанса нет 
  105	  889	 6	 1:40:00 -  1:45:00	 9:40:00 -  9:45:00	17:40:00 - 17:45:00	        сеанса нет 
  106	  890	 6	 1:45:00 -  1:50:00	 9:45:00 -  9:50:00	17:45:00 - 17:50:00	        сеанса нет 
  107	  891	 3	 1:30:00 -  1:35:00	 9:30:00 -  9:35:00	17:30:00 - 17:35:00	        сеанса нет 
  108	  892	 3	 1:35:00 -  1:40:00	 9:35:00 -  9:40:00	17:35:00 - 17:40:00	        сеанса нет 
  109	 1000	 0	 4:55:00 -  5:00:00	12:55:00 - 13:00:00	20:55:00 - 21:00:00	        сеанса нет 
  110	 1001	 0	 5:00:00 -  5:05:00	13:00:00 - 13:05:00	21:00:00 - 21:05:00	        сеанса нет 
  111	 1002	 0	 5:05:00 -  5:10:00	13:05:00 - 13:10:00	21:05:00 - 21:10:00	        сеанса нет 
  112	 1003	 0	 5:10:00 -  5:15:00	13:10:00 - 13:15:00	21:10:00 - 21:15:00	        сеанса нет 
  113	 1004	 0	 5:15:00 -  5:20:00	13:15:00 - 13:20:00	21:15:00 - 21:20:00	        сеанса нет 
  114	 1005	 0	 5:20:00 -  5:25:00	13:20:00 - 13:25:00	21:20:00 - 21:25:00	        сеанса нет 
  115	 1006	 0	 5:25:00 -  5:30:00	13:25:00 - 13:30:00	21:25:00 - 21:30:00	        сеанса нет 
  116	 1007	 0	 5:30:00 -  5:35:00	13:30:00 - 13:35:00	21:30:00 - 21:35:00	        сеанса нет 
  117	 1008	 0	 5:35:00 -  5:40:00	13:35:00 - 13:40:00	21:35:00 - 21:40:00	        сеанса нет 
  118	 1010	 0	 5:40:00 -  5:45:00	13:40:00 - 13:45:00	21:40:00 - 21:45:00	        сеанса нет 
  119	 1011	 0	 5:45:00 -  5:50:00	13:45:00 - 13:50:00	21:45:00 - 21:50:00	        сеанса нет 
  120	 1012	 0	 5:50:00 -  5:55:00	13:50:00 - 13:55:00	21:50:00 - 21:55:00	        сеанса нет 
  121	 1014	 0	 5:55:00 -  6:00:00	13:55:00 - 14:00:00	21:55:00 - 22:00:00	        сеанса нет 
  122	 1015	 3	 1:40:00 -  1:45:00	 9:40:00 -  9:45:00	17:40:00 - 17:45:00	        сеанса нет 
  123	 1016	 0	 6:00:00 -  6:05:00	14:00:00 - 14:05:00	22:00:00 - 22:05:00	        сеанса нет 
  124	 1017	 0	 6:05:00 -  6:10:00	14:05:00 - 14:10:00	22:05:00 - 22:10:00	        сеанса нет 
  125	 1018	 3	 1:45:00 -  1:50:00	 9:45:00 -  9:50:00	17:45:00 - 17:50:00	        сеанса нет 
  126	 1019	 0	 6:10:00 -  6:15:00	14:10:00 - 14:15:00	22:10:00 - 22:15:00	        сеанса нет 
