длительность сеанса -  5  мин

	СЕАНСЫ ВЫХОДА ТАКСОФОНОВ НА СВЯЗЬ С ЦУТ


   N 	  ID 	NЛП 	      сеанс 1      	     сеанс 2       	     сеанс 3       	      сеанс 4
  221	 1173	 1	 4:15:00 -  4:20:00	12:15:00 - 12:20:00	20:15:00 - 20:20:00	        сеанса нет 
  222	 1174	 1	 4:20:00 -  4:25:00	12:20:00 - 12:25:00	20:20:00 - 20:25:00	        сеанса нет 
  223	 1175	 1	 4:25:00 -  4:30:00	12:25:00 - 12:30:00	20:25:00 - 20:30:00	        сеанса нет 
  224	 1176	 1	 4:30:00 -  4:35:00	12:30:00 - 12:35:00	20:30:00 - 20:35:00	        сеанса нет 
  225	 1177	 1	 4:35:00 -  4:40:00	12:35:00 - 12:40:00	20:35:00 - 20:40:00	        сеанса нет 
  226	 1178	 1	 4:40:00 -  4:45:00	12:40:00 - 12:45:00	20:40:00 - 20:45:00	        сеанса нет 
  227	 1179	 1	 4:45:00 -  4:50:00	12:45:00 - 12:50:00	20:45:00 - 20:50:00	        сеанса нет 
  228	 1180	 3	 3:15:00 -  3:20:00	11:15:00 - 11:20:00	19:15:00 - 19:20:00	        сеанса нет 
  229	 1181	 3	 3:20:00 -  3:25:00	11:20:00 - 11:25:00	19:20:00 - 19:25:00	        сеанса нет 
  230	 1183	 3	 3:25:00 -  3:30:00	11:25:00 - 11:30:00	19:25:00 - 19:30:00	        сеанса нет 
  231	 1184	 6	 4:50:00 -  4:55:00	12:50:00 - 12:55:00	20:50:00 - 20:55:00	        сеанса нет 
  232	 1185	 2	 2:20:00 -  2:25:00	10:20:00 - 10:25:00	18:20:00 - 18:25:00	        сеанса нет 
  233	 1189	 3	 3:30:00 -  3:35:00	11:30:00 - 11:35:00	19:30:00 - 19:35:00	        сеанса нет 
  234	 1191	 3	 3:35:00 -  3:40:00	11:35:00 - 11:40:00	19:35:00 - 19:40:00	        сеанса нет 
  235	 1192	 2	 2:25:00 -  2:30:00	10:25:00 - 10:30:00	18:25:00 - 18:30:00	        сеанса нет 
  236	 1194	 2	 2:30:00 -  2:35:00	10:30:00 - 10:35:00	18:30:00 - 18:35:00	        сеанса нет 
  237	 1195	 3	 3:40:00 -  3:45:00	11:40:00 - 11:45:00	19:40:00 - 19:45:00	        сеанса нет 
  238	 1196	 3	 3:45:00 -  3:50:00	11:45:00 - 11:50:00	19:45:00 - 19:50:00	        сеанса нет 
  239	 1197	 3	 3:50:00 -  3:55:00	11:50:00 - 11:55:00	19:50:00 - 19:55:00	        сеанса нет 
  240	 1198	 3	 3:55:00 -  4:00:00	11:55:00 - 12:00:00	19:55:00 - 20:00:00	        сеанса нет 
  241	 1199	 3	 4:00:00 -  4:05:00	12:00:00 - 12:05:00	20:00:00 - 20:05:00	        сеанса нет 
  242	 1200	 3	 4:05:00 -  4:10:00	12:05:00 - 12:10:00	20:05:00 - 20:10:00	        сеанса нет 
  243	 1203	 3	 4:10:00 -  4:15:00	12:10:00 - 12:15:00	20:10:00 - 20:15:00	        сеанса нет 
  244	 1204	 5	 1:05:00 -  1:10:00	 9:05:00 -  9:10:00	17:05:00 - 17:10:00	        сеанса нет 
  245	 1205	 3	 4:15:00 -  4:20:00	12:15:00 - 12:20:00	20:15:00 - 20:20:00	        сеанса нет 
  246	 1207	 2	 2:35:00 -  2:40:00	10:35:00 - 10:40:00	18:35:00 - 18:40:00	        сеанса нет 
  247	 1212	 3	 4:20:00 -  4:25:00	12:20:00 - 12:25:00	20:20:00 - 20:25:00	        сеанса нет 
  248	 1213	 3	 4:25:00 -  4:30:00	12:25:00 - 12:30:00	20:25:00 - 20:30:00	        сеанса нет 
  249	 1214	 3	 4:30:00 -  4:35:00	12:30:00 - 12:35:00	20:30:00 - 20:35:00	        сеанса нет 
  250	 1215	 2	 2:40:00 -  2:45:00	10:40:00 - 10:45:00	18:40:00 - 18:45:00	        сеанса нет 
  251	 1216	 6	 4:55:00 -  5:00:00	12:55:00 - 13:00:00	20:55:00 - 21:00:00	        сеанса нет 
  252	 1217	 3	 4:35:00 -  4:40:00	12:35:00 - 12:40:00	20:35:00 - 20:40:00	        сеанса нет 
  253	 1218	 3	 4:40:00 -  4:45:00	12:40:00 - 12:45:00	20:40:00 - 20:45:00	        сеанса нет 
  254	 1219	 3	 4:45:00 -  4:50:00	12:45:00 - 12:50:00	20:45:00 - 20:50:00	        сеанса нет 
  255	 1220	 3	 4:50:00 -  4:55:00	12:50:00 - 12:55:00	20:50:00 - 20:55:00	        сеанса нет 
  256	 1221	 3	 4:55:00 -  5:00:00	12:55:00 - 13:00:00	20:55:00 - 21:00:00	        сеанса нет 
  257	 1222	 2	 2:45:00 -  2:50:00	10:45:00 - 10:50:00	18:45:00 - 18:50:00	        сеанса нет 
  258	 1223	 2	 2:50:00 -  2:55:00	10:50:00 - 10:55:00	18:50:00 - 18:55:00	        сеанса нет 
  259	 1224	 6	 5:00:00 -  5:05:00	13:00:00 - 13:05:00	21:00:00 - 21:05:00	        сеанса нет 
  260	 1225	 3	 5:00:00 -  5:05:00	13:00:00 - 13:05:00	21:00:00 - 21:05:00	        сеанса нет 
  261	 1226	 3	 5:05:00 -  5:10:00	13:05:00 - 13:10:00	21:05:00 - 21:10:00	        сеанса нет 
  262	 1227	 3	 5:10:00 -  5:15:00	13:10:00 - 13:15:00	21:10:00 - 21:15:00	        сеанса нет 
  263	 1228	 3	 5:15:00 -  5:20:00	13:15:00 - 13:20:00	21:15:00 - 21:20:00	        сеанса нет 
  264	 1229	 2	 3:00:00 -  3:05:00	11:00:00 - 11:05:00	19:00:00 - 19:05:00	        сеанса нет 
  265	 1230	 3	 5:20:00 -  5:25:00	13:20:00 - 13:25:00	21:20:00 - 21:25:00	        сеанса нет 
  266	 1231	 3	 5:25:00 -  5:30:00	13:25:00 - 13:30:00	21:25:00 - 21:30:00	        сеанса нет 
  267	 1233	 6	 5:05:00 -  5:10:00	13:05:00 - 13:10:00	21:05:00 - 21:10:00	        сеанса нет 
  268	 1234	 2	 3:05:00 -  3:10:00	11:05:00 - 11:10:00	19:05:00 - 19:10:00	        сеанса нет 
  269	 1235	 3	 5:30:00 -  5:35:00	13:30:00 - 13:35:00	21:30:00 - 21:35:00	        сеанса нет 
  270	 1236	 3	 5:35:00 -  5:40:00	13:35:00 - 13:40:00	21:35:00 - 21:40:00	        сеанса нет 
  271	 1237	 0	 7:00:00 -  7:05:00	15:00:00 - 15:05:00	23:00:00 - 23:05:00	        сеанса нет 
  272	 1300	 5	 0:10:00 -  0:15:00	 8:10:00 -  8:15:00	16:10:00 - 16:15:00	        сеанса нет 
  273	 1301	 2	 7:10:00 -  7:15:00	16:10:00 - 16:15:00	23:10:00 - 23:15:00	        сеанса нет 
  274	 1302	 1	 4:50:00 -  4:55:00	12:50:00 - 12:55:00	20:50:00 - 20:55:00	        сеанса нет 
  275	 1303	 2	 3:10:00 -  3:15:00	11:10:00 - 11:15:00	19:10:00 - 19:15:00	        сеанса нет 
  276	 1304	 1	 4:55:00 -  5:00:00	12:55:00 - 13:00:00	20:55:00 - 21:00:00	        сеанса нет 
  277	 1305	 1	 5:00:00 -  5:05:00	13:00:00 - 13:05:00	21:00:00 - 21:05:00	        сеанса нет 
  278	 1306	 1	 5:05:00 -  5:10:00	13:05:00 - 13:10:00	21:05:00 - 21:10:00	        сеанса нет 
  279	 1307	 1	 5:10:00 -  5:15:00	13:10:00 - 13:15:00	21:10:00 - 21:15:00	        сеанса нет 
  280	 1308	 1	 5:15:00 -  5:20:00	13:15:00 - 13:20:00	21:15:00 - 21:20:00	        сеанса нет 
  281	 1309	 5	 7:45:00 -  7:50:00	15:45:00 - 15:50:00	23:45:00 - 23:50:00	        сеанса нет 
  282	 1310	 5	 7:50:00 -  7:55:00	15:50:00 - 15:55:00	23:50:00 - 23:55:00	        сеанса нет 
  283	 1311	 5	 7:55:00 -  8:00:00	15:55:00 - 16:00:00	23:55:00 -  0:00:00	        сеанса нет 
  284	 1312	 0	 1:00:00 -  1:05:00	 9:00:00 -  9:05:00	17:00:00 - 17:05:00	        сеанса нет 
  285	 1313	 2	 3:15:00 -  3:20:00	11:15:00 - 11:20:00	19:15:00 - 19:20:00	        сеанса нет 
  286	 1314	 6	 6:15:00 -  6:20:00	14:15:00 - 14:20:00	22:15:00 - 22:20:00	        сеанса нет 
  287	 1315	 6	 6:20:00 -  6:25:00	14:20:00 - 14:25:00	22:20:00 - 22:25:00	        сеанса нет 
  288	 1316	 6	 6:25:00 -  6:30:00	14:25:00 - 14:30:00	22:25:00 - 22:30:00	        сеанса нет 
  289	 1317	 6	 6:30:00 -  6:35:00	14:30:00 - 14:35:00	22:30:00 - 22:35:00	        сеанса нет 
  290	 1322	 1	 5:20:00 -  5:25:00	13:20:00 - 13:25:00	21:20:00 - 21:25:00	        сеанса нет 
  291	 1323	 6	 6:35:00 -  6:40:00	14:35:00 - 14:40:00	22:35:00 - 22:40:00	        сеанса нет 
  292	 1400	 1	 5:25:00 -  5:30:00	13:25:00 - 13:30:00	21:25:00 - 21:30:00	        сеанса нет 
  293	 1401	 1	 5:30:00 -  5:35:00	13:30:00 - 13:35:00	21:30:00 - 21:35:00	        сеанса нет 
  294	 1402	 2	 5:45:00 -  5:50:00	13:45:00 - 13:50:00	21:45:00 - 21:50:00	        сеанса нет 
  295	 1404	 1	 5:35:00 -  5:40:00	13:35:00 - 13:40:00	21:35:00 - 21:40:00	        сеанса нет 
  296	 1405	 1	 5:40:00 -  5:45:00	13:40:00 - 13:45:00	21:40:00 - 21:45:00	        сеанса нет 
  297	 1406	 1	 5:45:00 -  5:50:00	13:45:00 - 13:50:00	21:45:00 - 21:50:00	        сеанса нет 
  298	 1407	 1	 5:50:00 -  5:55:00	13:50:00 - 13:55:00	21:50:00 - 21:55:00	        сеанса нет 
  299	 1408	 1	 5:55:00 -  6:00:00	13:55:00 - 14:00:00	21:55:00 - 22:00:00	        сеанса нет 
  300	 1409	 1	 6:00:00 -  6:05:00	14:00:00 - 14:05:00	22:00:00 - 22:05:00	        сеанса нет 
  301	 1410	 1	 6:05:00 -  6:10:00	14:05:00 - 14:10:00	22:05:00 - 22:10:00	        сеанса нет 
  302	 1411	 1	 6:10:00 -  6:15:00	14:10:00 - 14:15:00	22:10:00 - 22:15:00	        сеанса нет 
  303	 1412	 6	 5:10:00 -  5:15:00	13:10:00 - 13:15:00	21:10:00 - 21:15:00	        сеанса нет 
  304	 1413	 1	 6:15:00 -  6:20:00	14:15:00 - 14:20:00	22:15:00 - 22:20:00	        сеанса нет 
  305	 1414	 1	 6:20:00 -  6:25:00	14:20:00 - 14:25:00	22:20:00 - 22:25:00	        сеанса нет 
  306	 1415	 1	 6:25:00 -  6:30:00	14:25:00 - 14:30:00	22:25:00 - 22:30:00	        сеанса нет 
  307	 1416	 1	 6:30:00 -  6:35:00	14:30:00 - 14:35:00	22:30:00 - 22:35:00	        сеанса нет 
  308	 1417	 1	 6:35:00 -  6:40:00	14:35:00 - 14:40:00	22:35:00 - 22:40:00	        сеанса нет 
  309	 1418	 1	 6:40:00 -  6:45:00	14:40:00 - 14:45:00	22:40:00 - 22:45:00	        сеанса нет 
  310	 1419	 1	 6:45:00 -  6:50:00	14:45:00 - 14:50:00	22:45:00 - 22:50:00	        сеанса нет 
  311	 1420	 1	 6:50:00 -  6:55:00	14:50:00 - 14:55:00	22:50:00 - 22:55:00	        сеанса нет 
  312	 1421	 1	 6:55:00 -  7:00:00	14:55:00 - 15:00:00	22:55:00 - 23:00:00	        сеанса нет 
  313	 1422	 1	 7:00:00 -  7:05:00	15:00:00 - 15:05:00	23:00:00 - 23:05:00	        сеанса нет 
  314	 1423	 1	 7:05:00 -  7:10:00	15:05:00 - 15:10:00	23:05:00 - 23:10:00	        сеанса нет 
  315	 1424	 0	 0:00:00 -  0:05:00	 8:00:00 -  8:05:00	16:00:00 - 16:05:00	        сеанса нет 
  316	 1425	 0	 0:05:00 -  0:10:00	 8:05:00 -  8:10:00	16:05:00 - 16:10:00	        сеанса нет 
  317	 1426	 0	 0:10:00 -  0:15:00	 8:10:00 -  8:15:00	16:10:00 - 16:15:00	        сеанса нет 
  318	 1427	 0	 0:15:00 -  0:20:00	 8:15:00 -  8:20:00	16:15:00 - 16:20:00	        сеанса нет 
  319	 1428	 0	 0:20:00 -  0:25:00	 8:20:00 -  8:25:00	16:20:00 - 16:25:00	        сеанса нет 
  320	 1429	 0	 0:25:00 -  0:30:00	 8:25:00 -  8:30:00	16:25:00 - 16:30:00	        сеанса нет 
  321	 1430	 5	 1:10:00 -  1:15:00	 9:10:00 -  9:15:00	17:10:00 - 17:15:00	        сеанса нет 
  322	 1431	 6	 0:10:00 -  0:15:00	 8:10:00 -  8:15:00	16:10:00 - 16:15:00	        сеанса нет 
  323	 1432	 6	 0:15:00 -  0:20:00	 8:15:00 -  8:20:00	16:15:00 - 16:20:00	        сеанса нет 
  324	 1433	 2	 3:20:00 -  3:25:00	11:20:00 - 11:25:00	19:20:00 - 19:25:00	        сеанса нет 
  325	 1434	 5	 0:15:00 -  0:20:00	 8:15:00 -  8:20:00	16:15:00 - 16:20:00	        сеанса нет 
  326	 1435	 5	 0:20:00 -  0:25:00	 8:20:00 -  8:25:00	16:20:00 - 16:25:00	        сеанса нет 
  327	 1436	 2	 7:35:00 -  7:40:00	14:10:00 - 14:15:00	23:35:00 - 23:40:00	        сеанса нет 
  328	 1437	 5	 0:25:00 -  0:30:00	 8:25:00 -  8:30:00	16:25:00 - 16:30:00	        сеанса нет 
  329	 1439	 2	 7:15:00 -  7:20:00	15:15:00 - 15:20:00	23:15:00 - 23:20:00	        сеанса нет 
  330	 1440	 2	 7:20:00 -  7:25:00	16:20:00 - 16:25:00	23:20:00 - 23:25:00	        сеанса нет 
  331	 1441	 0	 7:05:00 -  7:10:00	15:05:00 - 15:10:00	23:05:00 - 23:10:00	        сеанса нет 
  332	 1442	 0	 7:10:00 -  7:15:00	15:10:00 - 15:15:00	23:10:00 - 23:15:00	        сеанса нет 
  333	 1443	 0	 7:15:00 -  7:20:00	15:15:00 - 15:20:00	23:15:00 - 23:20:00	        сеанса нет 
  334	 1444	 0	 7:20:00 -  7:25:00	15:20:00 - 15:25:00	23:20:00 - 23:25:00	        сеанса нет 
  335	 1451	 1	 7:10:00 -  7:15:00	15:10:00 - 15:15:00	23:10:00 - 23:15:00	        сеанса нет 
  336	 1452	 1	 7:15:00 -  7:20:00	15:15:00 - 15:20:00	23:15:00 - 23:20:00	        сеанса нет 
  337	 1453	 1	 7:20:00 -  7:25:00	15:20:00 - 15:25:00	23:20:00 - 23:25:00	        сеанса нет 
  338	 1454	 6	 6:40:00 -  6:45:00	14:40:00 - 14:45:00	22:40:00 - 22:45:00	        сеанса нет 
  339	 1455	 6	 6:45:00 -  6:50:00	14:45:00 - 14:50:00	22:45:00 - 22:50:00	        сеанса нет 
  340	 1456	 6	 6:50:00 -  6:55:00	14:50:00 - 14:55:00	22:50:00 - 22:55:00	        сеанса нет 
  341	 1457	 6	 6:55:00 -  7:00:00	14:55:00 - 15:00:00	22:55:00 - 23:00:00	        сеанса нет 
  342	 1458	 2	 5:50:00 -  5:55:00	13:50:00 - 13:55:00	21:50:00 - 21:55:00	        сеанса нет 
  343	 1459	 1	 7:25:00 -  7:30:00	15:25:00 - 15:30:00	23:25:00 - 23:30:00	        сеанса нет 
  344	 1460	 1	 7:30:00 -  7:35:00	15:30:00 - 15:35:00	23:30:00 - 23:35:00	        сеанса нет 
  345	 1461	 1	 7:35:00 -  7:40:00	15:35:00 - 15:40:00	23:35:00 - 23:40:00	        сеанса нет 
  346	 1462	 1	 7:40:00 -  7:45:00	15:40:00 - 15:45:00	23:40:00 - 23:45:00	        сеанса нет 
  347	 1463	 1	 7:45:00 -  7:50:00	15:45:00 - 15:50:00	23:45:00 - 23:50:00	        сеанса нет 
  348	 1464	 1	 7:50:00 -  7:55:00	15:50:00 - 15:55:00	23:50:00 - 23:55:00	        сеанса нет 
  349	 1465	 6	 7:00:00 -  7:05:00	15:00:00 - 15:05:00	23:00:00 - 23:05:00	        сеанса нет 
  350	 1466	 6	 7:05:00 -  7:10:00	15:05:00 - 15:10:00	23:05:00 - 23:10:00	        сеанса нет 
  351	 1467	 6	 7:10:00 -  7:15:00	15:10:00 - 15:15:00	23:10:00 - 23:15:00	        сеанса нет 
  352	 1468	 6	 7:15:00 -  7:20:00	15:15:00 - 15:20:00	23:15:00 - 23:20:00	        сеанса нет 
  353	 1469	 6	 7:20:00 -  7:25:00	15:20:00 - 15:25:00	23:20:00 - 23:25:00	        сеанса нет 
  354	 1470	 6	 7:25:00 -  7:30:00	15:25:00 - 15:30:00	23:25:00 - 23:30:00	        сеанса нет 
  355	 1471	 3	 5:40:00 -  5:45:00	13:40:00 - 13:45:00	21:40:00 - 21:45:00	        сеанса нет 
  356	 1472	 6	 7:30:00 -  7:35:00	15:30:00 - 15:35:00	23:30:00 - 23:35:00	        сеанса нет 
  357	 1473	 6	 7:35:00 -  7:40:00	15:35:00 - 15:40:00	23:35:00 - 23:40:00	        сеанса нет 
  358	 1474	 6	 7:40:00 -  7:45:00	15:40:00 - 15:45:00	23:40:00 - 23:45:00	        сеанса нет 
  359	 1475	 6	 7:45:00 -  7:50:00	15:45:00 - 15:50:00	23:45:00 - 23:50:00	        сеанса нет 
  360	 1476	 6	 7:50:00 -  7:55:00	15:50:00 - 15:55:00	23:50:00 - 23:55:00	        сеанса нет 
  361	 1477	 6	 7:55:00 -  8:00:00	15:55:00 - 16:00:00	23:55:00 -  0:00:00	        сеанса нет 
  362	 1478	 1	 7:55:00 -  8:00:00	15:55:00 - 16:00:00	23:55:00 -  0:00:00	        сеанса нет 
  363	 1479	 6	 0:20:00 -  0:25:00	 8:20:00 -  8:25:00	16:20:00 - 16:25:00	        сеанса нет 
  364	 1480	 3	 5:45:00 -  5:50:00	13:45:00 - 13:50:00	21:45:00 - 21:50:00	        сеанса нет 
  365	 1481	 3	 5:50:00 -  5:55:00	13:50:00 - 13:55:00	21:50:00 - 21:55:00	        сеанса нет 
  366	 1482	 3	 5:55:00 -  6:00:00	13:55:00 - 14:00:00	21:55:00 - 22:00:00	        сеанса нет 
  367	 1483	 2	 3:25:00 -  3:30:00	11:25:00 - 11:30:00	19:25:00 - 19:30:00	        сеанса нет 
  368	 1484	 2	 3:30:00 -  3:35:00	11:30:00 - 11:35:00	19:30:00 - 19:35:00	        сеанса нет 
  369	 1485	 3	 6:00:00 -  6:05:00	14:00:00 - 14:05:00	22:00:00 - 22:05:00	        сеанса нет 
  370	 1486	 3	 6:05:00 -  6:10:00	14:05:00 - 14:10:00	22:05:00 - 22:10:00	        сеанса нет 
  371	 1487	 2	 3:35:00 -  3:40:00	11:35:00 - 11:40:00	19:35:00 - 19:40:00	        сеанса нет 
  372	 1488	 1	 0:00:00 -  0:05:00	 8:00:00 -  8:05:00	16:00:00 - 16:05:00	        сеанса нет 
  373	 1500	 3	 6:10:00 -  6:15:00	14:10:00 - 14:15:00	22:10:00 - 22:15:00	        сеанса нет 
  374	 1502	 3	 6:15:00 -  6:20:00	14:15:00 - 14:20:00	22:15:00 - 22:20:00	        сеанса нет 
  375	 1503	 3	 6:20:00 -  6:25:00	14:20:00 - 14:25:00	22:20:00 - 22:25:00	        сеанса нет 
  376	 1504	 3	 6:25:00 -  6:30:00	14:25:00 - 14:30:00	22:25:00 - 22:30:00	        сеанса нет 
  377	 1505	 3	 6:30:00 -  6:35:00	14:30:00 - 14:35:00	22:30:00 - 22:35:00	        сеанса нет 
  378	 1506	 3	 6:35:00 -  6:40:00	14:35:00 - 14:40:00	22:35:00 - 22:40:00	        сеанса нет 
  379	 1507	 3	 6:40:00 -  6:45:00	14:40:00 - 14:45:00	22:40:00 - 22:45:00	        сеанса нет 
  380	 1508	 3	 6:45:00 -  6:50:00	14:45:00 - 14:50:00	22:45:00 - 22:50:00	        сеанса нет 
  381	 1509	 3	 6:50:00 -  6:55:00	14:50:00 - 14:55:00	22:50:00 - 22:55:00	        сеанса нет 
  382	 1510	 3	 6:55:00 -  7:00:00	14:55:00 - 15:00:00	22:55:00 - 23:00:00	        сеанса нет 
  383	 1511	 3	 7:00:00 -  7:05:00	15:00:00 - 15:05:00	23:00:00 - 23:05:00	        сеанса нет 
  384	 1512	 3	 7:05:00 -  7:10:00	15:05:00 - 15:10:00	23:05:00 - 23:10:00	        сеанса нет 
  385	 1513	 6	 5:15:00 -  5:20:00	13:15:00 - 13:20:00	21:15:00 - 21:20:00	        сеанса нет 
  386	 1514	 0	 7:25:00 -  7:30:00	15:25:00 - 15:30:00	23:25:00 - 23:30:00	        сеанса нет 
  387	 1515	 6	 5:20:00 -  5:25:00	13:20:00 - 13:25:00	21:20:00 - 21:25:00	        сеанса нет 
  388	 1516	 6	 5:25:00 -  5:30:00	13:25:00 - 13:30:00	21:25:00 - 21:30:00	        сеанса нет 
  389	 1517	 6	 5:30:00 -  5:35:00	13:30:00 - 13:35:00	21:30:00 - 21:35:00	        сеанса нет 
  390	 1518	 6	 5:35:00 -  5:40:00	13:35:00 - 13:40:00	21:35:00 - 21:40:00	        сеанса нет 
  391	 1520	 6	 5:40:00 -  5:45:00	13:40:00 - 13:45:00	21:40:00 - 21:45:00	        сеанса нет 
  392	 1521	 6	 5:45:00 -  5:50:00	13:45:00 - 13:50:00	21:45:00 - 21:50:00	        сеанса нет 
  393	 1522	 6	 5:50:00 -  5:55:00	13:50:00 - 13:55:00	21:50:00 - 21:55:00	        сеанса нет 
  394	 1523	 6	 5:55:00 -  6:00:00	13:55:00 - 14:00:00	21:55:00 - 22:00:00	        сеанса нет 
  395	 1524	 0	 7:30:00 -  7:35:00	15:30:00 - 15:35:00	23:30:00 - 23:35:00	        сеанса нет 
  396	 1525	 0	 7:35:00 -  7:40:00	15:35:00 - 15:40:00	23:35:00 - 23:40:00	        сеанса нет 
  397	 1526	 0	 7:40:00 -  7:45:00	15:40:00 - 15:45:00	23:40:00 - 23:45:00	        сеанса нет 
  398	 1527	 0	 7:45:00 -  7:50:00	15:45:00 - 15:50:00	23:45:00 - 23:50:00	        сеанса нет 
  399	 1528	 0	 7:50:00 -  7:55:00	15:50:00 - 15:55:00	23:50:00 - 23:55:00	        сеанса нет 
  400	 1529	 2	 5:55:00 -  6:00:00	13:55:00 - 14:00:00	21:55:00 - 22:00:00	        сеанса нет 
  401	 1530	 1	 0:05:00 -  0:10:00	 8:05:00 -  8:10:00	16:05:00 - 16:10:00	        сеанса нет 
  402	 1531	 1	 0:10:00 -  0:15:00	 8:10:00 -  8:15:00	16:10:00 - 16:15:00	        сеанса нет 
  403	 1532	 1	 0:15:00 -  0:20:00	 8:15:00 -  8:20:00	16:15:00 - 16:20:00	        сеанса нет 
  404	 1533	 1	 0:20:00 -  0:25:00	 8:20:00 -  8:25:00	16:20:00 - 16:25:00	        сеанса нет 
  405	 1534	 1	 0:25:00 -  0:30:00	 8:25:00 -  8:30:00	16:25:00 - 16:30:00	        сеанса нет 
  406	 1535	 6	 0:25:00 -  0:30:00	 8:25:00 -  8:30:00	16:25:00 - 16:30:00	        сеанса нет 
  407	 1536	 2	 7:25:00 -  7:30:00	15:25:00 - 15:30:00	23:25:00 - 23:30:00	        сеанса нет 
  408	 1537	 2	 7:30:00 -  7:35:00	15:30:00 - 15:35:00	23:30:00 - 23:35:00	        сеанса нет 
  409	 1538	 2	 6:00:00 -  6:05:00	14:00:00 - 14:05:00	22:00:00 - 22:05:00	        сеанса нет 
  410	 1539	 2	 6:05:00 -  6:10:00	15:05:00 - 15:10:00	22:05:00 - 22:10:00	        сеанса нет 
  411	 1540	 3	 7:10:00 -  7:15:00	15:10:00 - 15:15:00	23:10:00 - 23:15:00	        сеанса нет 
  412	 1541	 3	 7:15:00 -  7:20:00	15:15:00 - 15:20:00	23:15:00 - 23:20:00	        сеанса нет 
  413	 1542	 3	 7:20:00 -  7:25:00	15:20:00 - 15:25:00	23:20:00 - 23:25:00	        сеанса нет 
  414	 1543	 3	 7:25:00 -  7:30:00	15:25:00 - 15:30:00	23:25:00 - 23:30:00	        сеанса нет 
  415	 1544	 2	 3:40:00 -  3:45:00	11:40:00 - 11:45:00	19:40:00 - 19:45:00	        сеанса нет 
  416	 1546	 2	 3:45:00 -  3:50:00	11:45:00 - 11:50:00	19:45:00 - 19:50:00	        сеанса нет 
  417	 1548	 3	 7:30:00 -  7:35:00	15:30:00 - 15:35:00	23:30:00 - 23:35:00	        сеанса нет 
  418	 1600	 2	 3:50:00 -  3:55:00	11:50:00 - 11:55:00	19:50:00 - 19:55:00	        сеанса нет 
  419	 1601	 5	 1:15:00 -  1:20:00	 9:15:00 -  9:20:00	17:15:00 - 17:20:00	        сеанса нет 
  420	 1602	 5	 1:20:00 -  1:25:00	 9:20:00 -  9:25:00	17:20:00 - 17:25:00	        сеанса нет 
  421	 1603	 2	 2:55:00 -  3:00:00	10:55:00 - 11:00:00	18:55:00 - 19:00:00	        сеанса нет 
  422	 1604	 2	 3:55:00 -  4:00:00	11:55:00 - 12:00:00	19:55:00 - 20:00:00	        сеанса нет 
  423	 1605	 2	 4:00:00 -  4:05:00	12:00:00 - 12:05:00	20:00:00 - 20:05:00	        сеанса нет 
  424	 1606	 5	 1:25:00 -  1:30:00	 9:25:00 -  9:30:00	17:25:00 - 17:30:00	        сеанса нет 
  425	 1607	 5	 1:30:00 -  1:35:00	 9:30:00 -  9:35:00	17:30:00 - 17:35:00	        сеанса нет 
  426	 1608	 5	 1:35:00 -  1:40:00	 9:35:00 -  9:40:00	17:35:00 - 17:40:00	        сеанса нет 
  427	 1609	 2	 4:05:00 -  4:10:00	12:05:00 - 12:10:00	20:05:00 - 20:10:00	        сеанса нет 
  428	 1610	 2	 6:10:00 -  6:15:00	15:10:00 - 15:15:00	22:10:00 - 22:15:00	        сеанса нет 
  429	 1611	 2	 6:15:00 -  6:20:00	14:15:00 - 14:20:00	22:15:00 - 22:20:00	        сеанса нет 
  430	 1612	 2	 6:20:00 -  6:25:00	15:20:00 - 15:25:00	22:20:00 - 22:25:00	        сеанса нет 
  431	 1613	 2	 6:25:00 -  6:30:00	14:25:00 - 14:30:00	22:25:00 - 22:30:00	        сеанса нет 
  432	 1614	 2	 6:30:00 -  6:35:00	14:30:00 - 14:35:00	22:30:00 - 22:35:00	        сеанса нет 
  433	 1615	 2	 6:35:00 -  6:40:00	15:35:00 - 15:40:00	22:35:00 - 22:40:00	        сеанса нет 
  434	 1616	 2	 6:40:00 -  6:45:00	14:40:00 - 14:45:00	22:40:00 - 22:45:00	        сеанса нет 
  435	 1617	 2	 6:45:00 -  6:50:00	14:45:00 - 14:50:00	22:45:00 - 22:50:00	        сеанса нет 
  436	 1618	 2	 6:50:00 -  6:55:00	14:50:00 - 14:55:00	22:50:00 - 22:55:00	        сеанса нет 
  437	 1650	 5	 1:40:00 -  1:45:00	 9:40:00 -  9:45:00	17:40:00 - 17:45:00	        сеанса нет 
  438	 1651	 3	 7:35:00 -  7:40:00	15:35:00 - 15:40:00	23:35:00 - 23:40:00	        сеанса нет 
  439	 1653	 2	 4:10:00 -  4:15:00	12:10:00 - 12:15:00	20:10:00 - 20:15:00	        сеанса нет 
  440	 1654	 3	 7:40:00 -  7:45:00	15:40:00 - 15:45:00	23:40:00 - 23:45:00	        сеанса нет 
  441	 1655	 3	 7:45:00 -  7:50:00	15:45:00 - 15:50:00	23:45:00 - 23:50:00	        сеанса нет 
  442	 1656	 2	 4:15:00 -  4:20:00	12:15:00 - 12:20:00	20:15:00 - 20:20:00	        сеанса нет 
  443	 1658	 5	 1:45:00 -  1:50:00	 9:45:00 -  9:50:00	17:45:00 - 17:50:00	        сеанса нет 
